Year,Month,Active Agents,Total Registered Mobile Money Accounts (Millions),Total Agent Cash in Cash Out (Volume Million),Total Agent Cash in Cash Out (Value KSh billions)
2025,February,394853,84.56,267.88,636.21
2025,January,382873,83.4,294.62,697.51
2024,December,381116,82.43,309.28,753.45
2024,November,383624,81.55,297.02,707.27
2024,October,358621,80.82,215.26,722.28
2024,September,367551,79.37,196.49,670.52
2024,August,348065,78.64,214.25,705.91
2024,July,340889,78.61,204.17,705.85
2024,June,334046,77.92,201.06,676.01
2024,May,334088,77.24,208.13,722.27
2024,April,331614,77.44,203.55,711.67
2024,March,320276,77.73,207.81,747.73
2024,February,320182,77.33,213.34,790.8
2024,January,321340,76.76,211.58,783.98
2023,December,322404,77.26,213.31,788.35
2023,November,327928,77.12,201.31,707.55
2023,October,333291,75.96,210.62,703.28
2023,September,336033,77.07,201.58,660.84
2023,August,333428,77.55,208.61,666.63
2023,July,330912,77.21,202.85,684.64
2023,June,328543,76.99,197.42,643.76
2023,May,334726,77.34,205.88,670.44
2023,April,329968,75.96,194.95,615.25
2023,March,321149,73.72,204.83,645.8
2023,February,323613,74.04,184.82,578.09
2023,January,319079,74.41,198.31,589.3
2022,December,317983,73.12,207.01,708.06
2022,November,315240,73.22,190.46,639.84
2022,October,311957,73.22,196.93,646.5
2022,September,308799,71.67,189.7,674.47
2022,August,310450,70.06,184.81,677.36
2022,July,309856,71.58,194.77,722.52
2022,June,304693,70.33,186.2,665.09
2022,May,305830,70.03,192.95,692.62
2022,April,295237,68.72,188.24,663.53
2022,March,302837,68.62,195.82,664.31
2022,February,301108,67.94,171.39,568.71
2022,January,299860,68.28,181.85,585.82
2021,December,298272,68.03,189.8,622.14
2021,November,299053,67.15,185.98,600.97
2021,October,295105,66.88,190.06,618.14
2021,September,305831,67.7,180.85,585.38
2021,August,304822,68.09,184.51,586.52
2021,July,303718,68.54,184,587.98
2021,June,301457,67.78,175.83,532.63
2021,May,298883,67.77,180.76,536.69
2021,April,294706,67.11,173.35,502.22
2021,March,293403,65.93,182.29,537.75
2021,February,294111,67.16,164.2,567.99
2021,January,287410,66.59,173.91,590.36
2020,December,282929,66.01,181.37,605.69
2020,November,275960,65.77,170.03,526.81
2020,October,273531,65.26,174.11,528.9
2020,September,263200,64.03,163.34,483.22
2020,August,252703,62.78,163.21,473.52
2020,July,234747,62.07,157.76,450.98
2020,June,237637,61.73,143.14,392.17
2020,May,243118,60.24,135.93,357.37
2020,April,242275,59.43,124.99,307.99
2020,March,240261,58.71,150.69,364.51
2020,February,235543,58.67,148.53,350.48
2020,January,231292,59.17,150.2,371.9
2019,December,224108,58.36,154.99,382.93
2019,November,222211,58.04,153.06,359.26
2019,October,223176,56.29,156.11,366.9
2019,September,224959,55.7,151.22,365.91
2019,August,222479,54.78,151.83,368.5
2019,July,222087,53.89,152.98,366.39
2019,June,222484,46.8,149.73,346.85
2019,May,224825,52.2,153.26,364.25
2019,April,230220,52.05,155.8,360.22
2019,March,226957,50.36,161.38,368.39
2019,February,212252,50.04,144.49,328.15
2019,January,201336,40.3,154.24,368.02
2018,December,205745,47.69,155.77,367.77
2018,November,206312,46.23,153.15,343.87
2018,October,211961,45.44,155.16,343.23
2018,September,203359,44.27,145.99,327.66
2018,August,202627,43.56,149.52,348.91
2018,July,200227,42.61,143.09,332.35
2018,June,197286,42.58,137.41,317.67
2018,May,202387,41.73,140.95,328.97
2018,April,201795,40.29,142.06,313
2018,March,196002,39.34,147.52,337.11
2018,February,192117,38.42,132.3,300.85
2018,January,188029,37.84,136.66,322.98
2017,December,182472,37.39,139.93,332.62
2017,November,176986,36.39,131.74,298.96
2017,October,170389,36,134.2,299.02
2017,September,167775,35.54,128.46,300.92
